epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6826),0.5435459177779115
1,0.0029140775257509807,tensor(1.3405),0.6339816044206205
2,0.002379334336334003,tensor(1.2598),0.6528871966444928
3,0.0020605639793618343,tensor(1.2078),0.6666677625282951
4,0.0018430244519362141,tensor(1.1738),0.6757716357707977
5,0.0016824434439317673,tensor(1.1434),0.6805367482745129
6,0.0015576399571225839,tensor(1.1230),0.6860824191051981
7,0.0014570387628754903,tensor(1.1047),0.6900610789008762
8,0.0013737093195745564,tensor(1.0901),0.6930716449799745
9,0.0013032150878567173,tensor(1.0788),0.69532107581263
