epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6712),0.549077766712593
1,0.0029140775257509807,tensor(1.3355),0.633302929090417
2,0.002379334336334003,tensor(1.2571),0.6543930675672448
3,0.0020605639793618343,tensor(1.2067),0.6665937649167102
4,0.0018430244519362141,tensor(1.1710),0.6749675836252129
5,0.0016824434439317673,tensor(1.1430),0.6809658669907114
6,0.0015576399571225839,tensor(1.1235),0.685406866280929
7,0.0014570387628754903,tensor(1.1058),0.6897495860638826
8,0.0013737093195745564,tensor(1.0918),0.6924360897230065
9,0.0013032150878567173,tensor(1.0794),0.6947476262631623
