epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6855),0.5415227731122919
1,0.0029140775257509807,tensor(1.3404),0.6319153764973516
2,0.002379334336334003,tensor(1.2609),0.6523572188356649
3,0.0020605639793618343,tensor(1.2094),0.6641572413237199
4,0.0018430244519362141,tensor(1.1721),0.6747787628484809
5,0.0016824434439317673,tensor(1.1441),0.6809804872326229
6,0.0015576399571225839,tensor(1.1208),0.6851813101250193
7,0.0014570387628754903,tensor(1.1031),0.6891718270985977
8,0.0013737093195745564,tensor(1.0894),0.6927386107652084
9,0.0013032150878567173,tensor(1.0766),0.6953030438526817
