epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6956),0.5372875877696535
1,0.0029140775257509807,tensor(1.3507),0.6313901219678961
2,0.002379334336334003,tensor(1.2710),0.6505344678526339
3,0.0020605639793618343,tensor(1.2217),0.6630761009195577
4,0.0018430244519362141,tensor(1.1857),0.6708967387676239
5,0.0016824434439317673,tensor(1.1579),0.6781818252542745
6,0.0015576399571225839,tensor(1.1367),0.6828534823396931
7,0.0014570387628754903,tensor(1.1171),0.686721561525179
8,0.0013737093195745564,tensor(1.1009),0.6900651470474575
9,0.0013032150878567173,tensor(1.0898),0.6928562921026479
