epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6914),0.539718943056853
1,0.0029140775257509807,tensor(1.3411),0.6314525254394697
2,0.002379334336334003,tensor(1.2645),0.6503326962823454
3,0.0020605639793618343,tensor(1.2164),0.6643883018389992
4,0.0018430244519362141,tensor(1.1807),0.6723070761431819
5,0.0016824434439317673,tensor(1.1524),0.6795115330944891
6,0.0015576399571225839,tensor(1.1299),0.6839836530063463
7,0.0014570387628754903,tensor(1.1124),0.6882459415041882
8,0.0013737093195745564,tensor(1.0976),0.6913152342257293
9,0.0013032150878567173,tensor(1.0843),0.6942351753297059
