epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6807),0.5460050897591788
1,0.0029140775257509807,tensor(1.3425),0.6311066684515579
2,0.002379334336334003,tensor(1.2656),0.6510074910910233
3,0.0020605639793618343,tensor(1.2160),0.6628461366114409
4,0.0018430244519362141,tensor(1.1799),0.6723229359025541
5,0.0016824434439317673,tensor(1.1509),0.6788935881593953
6,0.0015576399571225839,tensor(1.1305),0.6832431803578916
7,0.0014570387628754903,tensor(1.1123),0.687551773890205
8,0.0013737093195745564,tensor(1.0970),0.6910337800564973
9,0.0013032150878567173,tensor(1.0841),0.6928631891375002
