epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6774),0.5470169298026872
1,0.0029140775257509807,tensor(1.3326),0.6365451506946398
2,0.002379334336334003,tensor(1.2533),0.6571676046951958
3,0.0020605639793618343,tensor(1.2040),0.6686199618422467
4,0.0018430244519362141,tensor(1.1688),0.6772347268850907
5,0.0016824434439317673,tensor(1.1411),0.6832526989605116
6,0.0015576399571225839,tensor(1.1201),0.687916680522587
7,0.0014570387628754903,tensor(1.1025),0.6924958384555319
8,0.0013737093195745564,tensor(1.0893),0.6953154004138449
9,0.0013032150878567173,tensor(1.0758),0.6976949787658194
