epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6880),0.5481382259694131
1,0.0029140775257509807,tensor(1.3408),0.6305841959041097
2,0.002379334336334003,tensor(1.2625),0.6516739840092867
3,0.0020605639793618343,tensor(1.2138),0.6641557079294453
4,0.0018430244519362141,tensor(1.1766),0.6727323171885117
5,0.0016824434439317673,tensor(1.1504),0.6793311805828758
6,0.0015576399571225839,tensor(1.1293),0.6837624562823255
7,0.0014570387628754903,tensor(1.1093),0.6875693834346274
8,0.0013737093195745564,tensor(1.0944),0.6908434041168379
9,0.0013032150878567173,tensor(1.0810),0.6942865576433099
