epoch,lr,loss,acc
0,0.004121127958723669,tensor(1.6750),0.5416536495899377
1,0.0029140775257509807,tensor(1.3366),0.6329188839248989
2,0.002379334336334003,tensor(1.2609),0.6543508055417434
3,0.0020605639793618343,tensor(1.2123),0.6660861917164015
4,0.0018430244519362141,tensor(1.1766),0.6735129022079965
5,0.0016824434439317673,tensor(1.1491),0.6813385932341866
6,0.0015576399571225839,tensor(1.1265),0.6864011435405067
7,0.0014570387628754903,tensor(1.1091),0.6904083194939986
8,0.0013737093195745564,tensor(1.0942),0.6928018054236537
9,0.0013032150878567173,tensor(1.0817),0.6957901260127192
