epoch,lr,loss,acc
0,0.0035625,tensor(2.0619),0.44895818332831067
1,0.005853661322385587,tensor(1.4199),0.5742756766185426
2,0.004779494455636703,tensor(1.2671),0.6211040061816835
3,0.004139163615828262,tensor(1.1736),0.6470698337805899
4,0.003702180485994327,tensor(1.1120),0.662646028033474
5,0.0033796129402242194,tensor(1.0672),0.6742672052299767
6,0.003128913589510993,tensor(1.0253),0.6848651693578351
7,0.0029268306611927937,tensor(0.9909),0.6927952996471471
8,0.0027594424105521747,tensor(0.9583),0.700431930391412
9,0.002617836926823097,tensor(0.9329),0.7069503623142577
