epoch,lr,loss,acc
0,0.0035625,tensor(2.0548),0.43888296964660023
1,0.005853661322385587,tensor(1.4312),0.5694873134295145
2,0.004779494455636703,tensor(1.2760),0.6171892243519164
3,0.004139163615828262,tensor(1.1808),0.6436101208653366
4,0.003702180485994327,tensor(1.1206),0.6599381461478117
5,0.0033796129402242194,tensor(1.0727),0.6715030680622971
6,0.003128913589510993,tensor(1.0307),0.6817826095380282
7,0.0029268306611927937,tensor(0.9974),0.6907461421531543
8,0.0027594424105521747,tensor(0.9696),0.6972782779158208
9,0.002617836926823097,tensor(0.9424),0.7032089243855393
