epoch,lr,loss,acc
0,0.0035625,tensor(2.0427),0.44386469912633564
1,0.005853661322385587,tensor(1.4069),0.5787281728627389
2,0.004779494455636703,tensor(1.2584),0.6251073856102792
3,0.004139163615828262,tensor(1.1639),0.6486072874905771
4,0.003702180485994327,tensor(1.1081),0.6617794862964697
5,0.0033796129402242194,tensor(1.0600),0.674718557742604
6,0.003128913589510993,tensor(1.0197),0.6846330594598201
7,0.0029268306611927937,tensor(0.9869),0.6924385250660411
8,0.0027594424105521747,tensor(0.9582),0.6999453421224627
9,0.002617836926823097,tensor(0.9308),0.7062599857648214
