epoch,lr,loss,acc
0,0.0035625,tensor(2.0465),0.45810799366026594
1,0.005853661322385587,tensor(1.4205),0.5736348095693087
2,0.004779494455636703,tensor(1.2660),0.621466038519876
3,0.004139163615828262,tensor(1.1724),0.6471849188470004
4,0.003702180485994327,tensor(1.1149),0.6619890415877626
5,0.0033796129402242194,tensor(1.0675),0.6747280756632487
6,0.003128913589510993,tensor(1.0245),0.6845119971978036
7,0.0029268306611927937,tensor(0.9968),0.6907729935227779
8,0.0027594424105521747,tensor(0.9641),0.700187859828012
9,0.002617836926823097,tensor(0.9384),0.7048102690462481
