epoch,lr,loss,acc
0,0.0035625,tensor(2.0258),0.447261316342312
1,0.005853661322385587,tensor(1.4088),0.5765110609824198
2,0.004779494455636703,tensor(1.2634),0.624951818533111
3,0.004139163615828262,tensor(1.1710),0.6484365191376
4,0.003702180485994327,tensor(1.1075),0.6658009552119071
5,0.0033796129402242194,tensor(1.0578),0.6783277381930435
6,0.003128913589510993,tensor(1.0220),0.6872392077195016
7,0.0029268306611927937,tensor(0.9894),0.6959570865882071
8,0.0027594424105521747,tensor(0.9570),0.7024590791317454
9,0.002617836926823097,tensor(0.9288),0.7101314862569174
