epoch,lr,loss,acc
0,0.0035625,tensor(2.0135),0.4630584565824584
1,0.005853661322385587,tensor(1.4039),0.5781567473160593
2,0.004779494455636703,tensor(1.2571),0.6226235847724112
3,0.004139163615828262,tensor(1.1647),0.646445561919296
4,0.003702180485994327,tensor(1.1049),0.6629076861498648
5,0.0033796129402242194,tensor(1.0570),0.6753283979599936
6,0.003128913589510993,tensor(1.0193),0.6851963777291147
7,0.0029268306611927937,tensor(0.9855),0.6933076977729797
8,0.0027594424105521747,tensor(0.9579),0.6996758883459526
9,0.002617836926823097,tensor(0.9270),0.70770627992195
