epoch,lr,loss,acc
0,0.0035625,tensor(2.0543),0.45216481884320575
1,0.005853661322385587,tensor(1.4187),0.5726947083807828
2,0.004779494455636703,tensor(1.2691),0.6218534728936982
3,0.004139163615828262,tensor(1.1749),0.6466483756115562
4,0.003702180485994327,tensor(1.1154),0.6637879223154303
5,0.0033796129402242194,tensor(1.0695),0.6752787807531524
6,0.003128913589510993,tensor(1.0323),0.6831114438542149
7,0.0029268306611927937,tensor(0.9963),0.692742247330515
8,0.0027594424105521747,tensor(0.9665),0.699688548581642
9,0.002617836926823097,tensor(0.9436),0.7050453194400721
