epoch,lr,loss,acc
0,0.0035625,tensor(2.0200),0.4640419264242314
1,0.005853661322385587,tensor(1.4032),0.5783372144950064
2,0.004779494455636703,tensor(1.2555),0.6243493766115423
3,0.004139163615828262,tensor(1.1633),0.6495821434154845
4,0.003702180485994327,tensor(1.1031),0.6650611381781729
5,0.0033796129402242194,tensor(1.0556),0.6779378903539557
6,0.003128913589510993,tensor(1.0171),0.687194215623956
7,0.0029268306611927937,tensor(0.9828),0.6952089081730759
8,0.0027594424105521747,tensor(0.9506),0.7024071634861461
9,0.002617836926823097,tensor(0.9266),0.7085304187055219
