epoch,lr,loss,acc
0,0.0035625,tensor(2.0058),0.4491179354096714
1,0.005853661322385587,tensor(1.4016),0.5787979563077291
2,0.004779494455636703,tensor(1.2535),0.6260623126699213
3,0.004139163615828262,tensor(1.1597),0.6489089194097017
4,0.003702180485994327,tensor(1.1027),0.6670644534261603
5,0.0033796129402242194,tensor(1.0560),0.6771271145134642
6,0.003128913589510993,tensor(1.0161),0.6869620314815588
7,0.0029268306611927937,tensor(0.9798),0.6967104181908724
8,0.0027594424105521747,tensor(0.9505),0.702564955803386
9,0.002617836926823097,tensor(0.9197),0.7102350101136324
